,user_a,user_b
0,Thích mẫu người nào,"Dễ thương, tóc dài, da trắng"
1,Có crush ai không,Có 1 bạn cùng lớp
2,Tại sao lại thích bạn dó,Vì đáp ứng những yêu cầu của tao
3,Có hay nói chuyện không,Hay nhắn tin messenger
4,Bạn kia có bắt chuyện trước không,Có đôi khi
5,Có định rủ bạn đó về quê dịp Tết không,"Có, đang đợi trả lời"
6,Có hay đi chơi với nhau không,Thường đi cùng cả nhóm bạn
7,Sở thích mày sao?,"Thích phim, đồ ăn, thể thao"
8,Thích phim gì?,Phim ma
9,Thích chơi gì?,chơi đá banh
10,Thích ăn gì?,Ăn cơm sườn
11,mày thích chơi bi lắc không?,có
12,mày chơi giỏi nhất cây nào?,"một, năm"
13,mày chơi cầu công hay cầu thủ?,thủ
14,có chơi cầu lông không?,Không thường xuyên
15,hay chơi với ai?,Đồng nghiệp
16,chơi ở đâu?,quận 10
17,chơi bao nhiêu lần một tuần?,1 lần
18,chơi sân nào?,sân kỳ hòa
19,thích phim nào?,quái vật
20,thích diễn viên nào không?,không có
21,thích hãng phim nào?,marvel
22,mày thích chơi bi lắc không?,không
23,mày chơi giỏi nhất cây nào?,có chơi đâu giỏi
24,mày chơi cầu công hay cầu thủ?,có chơi đâu hỏi hoài
25,có chơi cầu lông không?,có chứ
26,hay chơi với ai?,chơi với hội
27,chơi ở đâu?,sân cầu lông
28,chơi bao nhiêu lần một tuần?,mỗi ngày
29,chơi sân nào?,sân nhà thi đấu phú thọ quận 11
30,thích phim nào?,phim giả tưởng
31,thích diễn viên nào không?,không
32,thích hãng phim nào?,không biết
33,Thích chơi game không?,thích
34,Thích chơi game gì?,game người lớn
35,Có chơi thể thao không?,Có.
36,Chơi môn gì?,Bóng đá.
37,Tại sao thích môn đó?,Tương tác cao.
38,Ghét môn gì?,Bóng rổ.
39,Hay chơi lúc nào?,Cuối tuần.
40,Có chơi với bạn không?,Có.
41,Có xem phim không?,Có.
42,Thường xem thể loại gì?,Hành động.
43,mày tthich1 chơi gì?,chơi đá bóng
44,mày thích thể loại nào?,hành động kinh điển
45,bạn thích làm gì?,tôi thích chơi game và học code
46,bạn thích phim gì?,tôi rất thích phim hài
47,bạn thích môn thể thao nào?,tôi thích đô vật mỹ
48,Thích gì?,thích đá bóng
49,Mày như nào?,tao đá banh hơi cùi
50,Phim gì?,phim lãng mạn
51,Chơi gì?,chơi game bắn súng
52,Thích bơi không?,không thích cho lắm
53,Du lịch mấy lần?,mỗi năm một lần
54,Đi máy bay chưa?,rồi nha
55,Nhiêu nước?,chưa ra nước ngoài
56,Thích ăn gì?,ăn sushi
57,thích môn thể thao nào?,đá bóng và fitness
58,thích phim nào?,kinh dị
59,có sở thích gì không?,Đọc truyện
60,thích chơi thể thao không?,Không
61,thích chơi môn thể thao nào?,Cầu lông
62,"tui thấy mấy đứa ctrai hay chơi game :))) chắc ông cũng zay ha :"">",đúng dồi
63,ông có thích chơi đá bóng hay gì không?,"tui thích chơi bóng đá nhất, hồi đó tui còn đi thi đấu bán chuyên nữa"
64,Bộ phim thích nhất?,forest gump
65,Thích môn thể thao nào?,bóng bàn
66,Mày có sở thích gì?,Thích đi du lịch
67,Thích đi xem phim không?,Thích
68,Có hay chơi thể thao không?,"Có, hàng tuần"
69,Có thính hát không,"Có, tao hay hát lắm"
70,thích gì,đi chơi
71,thích ăn gì?,ăn cơm nhà.
72,thích phim gì?,phim heo.
73,có chơi thể thao không?,"lâu lâu thì đánh bóng rổ, cầu lông."
74,Thích gì?,Chơi
75,Thích môn thể thao nào?,Ngủ ngày.
76,Thích xem phim gì?,Phim
77,thích thể thao không?,thích thể thao 2 người.
78,mày thích con đó không,Kó
79,Mày thích gì?,Thích crush
80,Chứ mày thích sách không?,Hỏi gì hỏi lắm vậy?
81,mày thích gái không ?,có nhá
82,mày chơi thể thao không?,có
83,mày thích đi xem phim không ?,có
84,mày thích đi xem phim chung với gia đình không ?,hỏi chi mà lắm nhờ
85,mày thích đi xem phim một mình không ?,nói ít hiểu nhiều
86,Mày có thích chơi thể thao hay không ?,Không thích
87,Chơi môn gì ?,Không thích rồi mà còn hỏi nữa
88,Chơi ở đâu ?,Hỏi nhây vậy
89,Chơi với ai ?,Chơi với mày
90,Mày thích gì?,Tao thích mày.
